,tconst,primaryTitle,originalTitle,year,runtimeMinutes,genres,averageRating,numVotes
175,tt2091245,Black and White Stripes: The Juventus Story,Black and White Stripes: The Juventus Story,2018,107,"Biography,Documentary,Sport",7.9,227
176,tt2098669,Dirty Dealing 3D,Dirty Dealing 3D,2018,90,Drama,3.8,155
177,tt2119543,The House with a Clock in Its Walls,The House with a Clock in Its Walls,2018,105,"Comedy,Fantasy,Horror",6.0,36718
178,tt2126357,Second Act,Second Act,2018,103,"Comedy,Drama,Romance",5.8,16418
179,tt2140629,Arizona,Arizona,2018,85,"Comedy,Thriller",5.7,5327
180,tt2149542,Roshni,Roshni,2018,45,"Documentary,Family",8.3,182
181,tt2150177,Bhaiaji Superhit,Bhaiaji Superhit,2018,139,"Action,Comedy,Drama",4.1,463
182,tt2160105,I Still See You,I Still See You,2018,98,"Fantasy,Thriller",5.8,6259
183,tt2160125,College Pranks,College Pranks,2018,100,"Horror,Thriller",5.4,27
184,tt2179171,Calling All Earthlings,Calling All Earthlings,2018,74,"Documentary,History,Sci-Fi",6.8,48
185,tt2179231,The Bromley Boys,The Bromley Boys,2018,106,Comedy,7.4,3908
186,tt2180583,Unbelievable!!!!!,Unbelievable!!!!!,2018,105,"Comedy,Sci-Fi",5.5,28
187,tt2201211,A Boy Called Sailboat,A Boy Called Sailboat,2018,92,"Comedy,Drama,Family",6.7,631
188,tt2205762,Model Home,Model Home,2018,82,"Drama,Horror,Mystery",4.1,82
189,tt2221755,No te supe perder,No te supe perder,2018,94,"Drama,Thriller",4.3,13
190,tt2226440,Dead Men,Dead Men,2018,180,"Action,Western",4.5,254
191,tt2231461,Rampage,Rampage,2018,107,"Action,Adventure,Sci-Fi",6.1,122950
192,tt2233979,Welcome to Mercy,Beatus,2018,103,"Drama,Horror,Mystery",4.8,532
193,tt2237324,Bent,Bent,2018,96,"Crime,Thriller",5.4,3702
194,tt2239876,The Child of the Sahara,Le fils du désert,2018,87,Drama,6.4,49
195,tt2243900,Trouble Is My Business,Trouble Is My Business,2018,116,"Action,Adventure,Crime",6.0,1418
196,tt2258058,High & Outside: a baseball noir,High & Outside: a baseball noir,2018,98,"Drama,Sport",8.6,25
197,tt2262044,Alabama Dirt,Alabama Dirt,2018,101,"Action,Drama,Family",6.0,52
198,tt2268018,Neron,Neron,2018,100,"Action,Drama,Horror",2.9,489
199,tt2278050,Skateboard or Die,The Hunters' Club,2018,105,"Action,Comedy,Thriller",4.6,80
200,tt2281442,Haunted 2: Apparitions,Haunted 2: Apparitions,2018,87,Horror,1.7,159
201,tt2296777,Sherlock Gnomes,Sherlock Gnomes,2018,86,"Adventure,Animation,Comedy",5.1,8640
202,tt2315596,Galveston,Galveston,2018,91,"Action,Crime,Drama",6.2,8524
203,tt2316329,Studniówk@,Studniówk@,2018,80,Comedy,2.6,41
204,tt2316479,Blue Iguana,Blue Iguana,2018,100,"Action,Comedy,Crime",5.5,1762
205,tt2328900,Mary Queen of Scots,Mary Queen of Scots,2018,124,"Biography,Drama,History",6.3,28935
206,tt2331584,Escombros,Escombros,2018,60,"Comedy,Mystery",8.2,16
207,tt2355880,Mr. Soul!,Mr. Soul!,2018,90,Documentary,7.8,34
208,tt2368254,A Private War,A Private War,2018,110,"Biography,Drama,War",6.7,11995
209,tt2371900,The Fever and the Fret,The Fever and the Fret,2018,76,"Drama,Fantasy",5.2,6
210,tt2372251,Down a Dark Hall,Down a Dark Hall,2018,96,"Drama,Fantasy,Horror",5.1,9945
211,tt2377752,The Truth About Lies,The Truth About Lies,2018,94,"Comedy,Romance",5.2,407
212,tt2386237,Malevolent,Malevolent,2018,89,Horror,4.7,8125
213,tt2388771,Mowgli: Legend of the Jungle,Mowgli,2018,104,"Adventure,Drama,Fantasy",6.5,48892
214,tt2392748,Scorched Earth,Scorched Earth,2018,96,"Action,Sci-Fi",4.7,2501
215,tt2395271,Juan y Vanesa,Juan y Vanesa,2018,97,Drama,4.8,20
216,tt2397617,To the Night,To the Night,2018,102,"Drama,Romance",6.2,58
217,tt2399430,Easy Money,Easy Money,2018,85,Drama,5.9,7
218,tt2401211,Save Me from Love,Save Me from Love,2018,86,"Comedy,Drama,Music",4.7,18
219,tt2401825,Forever Young,Wu wen xi dong,2018,138,Drama,6.4,755
